DATE,WPU01110205
2015-03-01,151.8
2015-04-01,150.9
2015-05-01,.
2015-06-01,.
2015-07-01,.
2015-08-01,.
2015-09-01,.
2015-10-01,.
2015-11-01,.
2015-12-01,.
2016-01-01,.
2016-02-01,118.6
2016-03-01,113.7
2016-04-01,103.5
2016-05-01,107.5
2016-06-01,160.7
2016-07-01,266.7
2016-08-01,188.3
2016-09-01,258.6
2016-10-01,327.3
2016-11-01,355.5
2016-12-01,266.7
2017-01-01,396.0
2017-02-01,.
2017-03-01,218.0
2017-04-01,222.7
2017-05-01,231.7
2017-06-01,220.4
2017-07-01,223.8
2017-08-01,332.5
2017-09-01,.
2017-10-01,.
2017-11-01,498.7
2017-12-01,381.7
2018-01-01,.
2018-02-01,.
2018-03-01,162.9
2018-04-01,171.2
2018-05-01,158.9
2018-06-01,165.6
2018-07-01,188.7
2018-08-01,268.2
2018-09-01,190.1
2018-10-01,223.7
2018-11-01,138.9
2018-12-01,150.1
2019-01-01,.
2019-02-01,.
2019-03-01,.
2019-04-01,273.3
2019-05-01,238.2
2019-06-01,306.5
2019-07-01,331.4
2019-08-01,239.1
2019-09-01,255.0
2019-10-01,398.5
2019-11-01,255.0
2019-12-01,302.8
2020-01-01,382.5
2020-02-01,190.3
2020-03-01,211.7
2020-04-01,204.3
2020-05-01,174.3
2020-06-01,179.2
2020-07-01,161.7
2020-08-01,166.4
2020-09-01,161.6
2020-10-01,144.3
2020-11-01,99.2
2020-12-01,99.1
2021-01-01,.
2021-02-01,.
2021-03-01,.
2021-04-01,207.0
2021-05-01,194.5
2021-06-01,189.5
2021-07-01,188.359
2021-08-01,218.273
2021-09-01,249.761
2021-10-01,.
2021-11-01,198.116
2021-12-01,.
2022-01-01,.
2022-02-01,.
2022-03-01,274.288
2022-04-01,286.001
2022-05-01,316.348
2022-06-01,337.197
2022-07-01,313.168
2022-08-01,321.006
2022-09-01,352.477
