Date, Open , High , Low , Close , Adj_Close , Volume ,,,,
9/17/2014,465.86,468.17,452.42,457.33,457.33,21056800.00,,,,
9/18/2014,456.86,456.86,413.10,424.44,424.44,34483200.00,,,,
9/19/2014,424.10,427.83,384.53,394.80,394.80,37919700.00,,,,
9/20/2014,394.67,423.30,389.88,408.90,408.90,36863600.00,,,,
9/21/2014,408.08,412.43,393.18,398.82,398.82,26580100.00,,,,
9/22/2014,399.10,406.92,397.13,402.15,402.15,24127600.00,,,,
9/23/2014,402.09,441.56,396.20,435.79,435.79,45099500.00,,,,
9/24/2014,435.75,436.11,421.13,423.20,423.20,30627700.00,,,,
9/25/2014,423.16,423.52,409.47,411.57,411.57,26814400.00,,,,
9/26/2014,411.43,414.94,400.01,404.42,404.42,21460800.00,,,,
9/27/2014,403.56,406.62,397.37,399.52,399.52,15029300.00,,,,
9/28/2014,399.47,401.02,374.33,377.18,377.18,23613300.00,,,,
9/29/2014,376.93,385.21,372.24,375.47,375.47,32497700.00,,,,
9/30/2014,376.09,390.98,373.44,386.94,386.94,34707300.00,,,,
10/1/2014,387.43,391.38,380.78,383.61,383.61,26229400.00,,,,
10/2/2014,383.99,385.50,372.95,375.07,375.07,21777700.00,,,,
10/3/2014,375.18,377.70,357.86,359.51,359.51,30901200.00,,,,
10/4/2014,359.89,364.49,325.89,328.87,328.87,47236500.00,,,,
10/5/2014,328.92,341.80,289.30,320.51,320.51,83308096.00,,,,
10/6/2014,320.39,345.13,302.56,330.08,330.08,79011800.00,,,,
10/7/2014,330.58,339.25,320.48,336.19,336.19,49199900.00,,,,
10/8/2014,336.12,354.36,327.19,352.94,352.94,54736300.00,,,,
10/9/2014,352.75,382.73,347.69,365.03,365.03,83641104.00,,,,
10/10/2014,364.69,375.07,352.96,361.56,361.56,43665700.00,,,,
10/11/2014,361.36,367.19,355.95,362.30,362.30,13345200.00,,,,
10/12/2014,362.61,379.43,356.14,378.55,378.55,17552800.00,,,,
10/13/2014,377.92,397.23,368.90,390.41,390.41,35221400.00,,,,
10/14/2014,391.69,411.70,391.32,400.87,400.87,38491500.00,,,,
10/15/2014,400.95,402.23,388.77,394.77,394.77,25267100.00,,,,
10/16/2014,394.52,398.81,373.07,382.56,382.56,26990000.00,,,,
10/17/2014,382.76,385.48,375.39,383.76,383.76,13600700.00,,,,
10/18/2014,383.98,395.16,378.97,391.44,391.44,11416800.00,,,,
10/19/2014,391.25,393.94,386.46,389.55,389.55,5914570.00,,,,
10/20/2014,389.23,390.08,378.25,382.85,382.85,16419000.00,,,,
10/21/2014,382.42,392.65,380.83,386.48,386.48,14188900.00,,,,
10/22/2014,386.12,388.58,382.25,383.16,383.16,11641300.00,,,,
10/23/2014,382.96,385.05,356.45,358.42,358.42,26456900.00,,,,
10/24/2014,358.59,364.35,353.30,358.35,358.35,15585700.00,,,,
10/25/2014,358.61,359.86,342.88,347.27,347.27,18127500.00,,,,
10/26/2014,347.49,359.22,343.93,354.70,354.70,11272500.00,,,,
10/27/2014,354.78,358.63,349.81,352.99,352.99,13033000.00,,,,
10/28/2014,353.21,359.98,352.68,357.62,357.62,7845880.00,,,,
10/29/2014,357.09,357.83,335.34,335.59,335.59,18192700.00,,,,
10/30/2014,335.71,350.91,335.07,345.30,345.30,30177900.00,,,,
10/31/2014,345.01,348.05,337.14,338.32,338.32,12545400.00,,,,
11/1/2014,338.65,340.53,321.05,325.75,325.75,16677200.00,,,,
11/2/2014,326.08,329.05,320.63,325.89,325.89,8603620.00,,,,
11/3/2014,325.57,334.00,325.48,327.55,327.55,12948500.00,,,,
11/4/2014,327.16,331.77,325.08,330.49,330.49,15655500.00,,,,
11/5/2014,330.68,343.37,330.68,339.49,339.49,19817200.00,,,,
11/6/2014,339.46,352.97,338.42,349.29,349.29,18797000.00,,,,
11/7/2014,349.82,352.73,341.78,342.42,342.42,16834200.00,,,,
11/8/2014,342.15,347.03,342.15,345.49,345.49,8535470.00,,,,
11/9/2014,345.38,363.63,344.26,363.26,363.26,24205600.00,,,,
11/10/2014,362.27,374.82,357.56,366.92,366.92,30450100.00,,,,
11/11/2014,365.86,371.31,363.73,367.70,367.70,15838900.00,,,,
11/12/2014,367.98,429.72,367.98,423.56,423.56,45783200.00,,,,
11/13/2014,427.27,457.09,401.12,420.73,420.73,58945000.00,,,,
11/14/2014,418.42,419.25,384.79,397.82,397.82,29589200.00,,,,
11/15/2014,399.65,405.53,371.01,376.13,376.13,15727500.00,,,,
11/16/2014,374.73,390.80,374.60,387.88,387.88,11905600.00,,,,
11/17/2014,388.35,410.20,377.50,387.41,387.41,41518800.00,,,,
11/18/2014,387.79,392.40,371.12,375.20,375.20,32222500.00,,,,
11/19/2014,373.90,386.48,373.90,380.55,380.55,18931800.00,,,,
11/20/2014,380.31,382.02,356.78,357.84,357.84,25233200.00,,,,
11/21/2014,357.88,357.88,344.11,350.85,350.85,29850100.00,,,,
11/22/2014,351.60,364.84,350.88,352.92,352.92,15273000.00,,,,
11/23/2014,353.17,370.85,353.17,367.57,367.57,15151600.00,,,,
11/24/2014,366.95,387.21,366.67,376.90,376.90,30930100.00,,,,
