Date,Close
11/11/2012,85.57
11/12/2012,85.38
11/13/2012,86.32
11/14/2012,85.45
11/15/2012,86.67
11/18/2012,89.28
11/19/2012,86.75
11/20/2012,87.38
11/23/2012,88.28
11/25/2012,87.74
11/26/2012,87.18
11/27/2012,86.49
11/28/2012,88.07
11/29/2012,88.91
12/2/2012,89.09
12/3/2012,88.5
12/4/2012,87.88
12/5/2012,86.26
12/6/2012,85.93
12/9/2012,85.56
12/10/2012,85.79
12/11/2012,86.77
12/12/2012,85.89
12/13/2012,86.73
12/16/2012,87.2
12/17/2012,87.93
12/18/2012,89.51
12/19/2012,90.13
12/20/2012,88.66
12/24/2012,88.61
12/25/2012,90.98
12/26/2012,90.87
12/27/2012,90.8
12/30/2012,91.82
1/1/2013,93.12
1/2/2013,92.92
1/3/2013,93.09
1/6/2013,93.19
1/7/2013,93.15
1/8/2013,93.1
1/9/2013,93.82
1/10/2013,93.56
1/13/2013,94.14
1/14/2013,93.28
1/15/2013,94.24
1/16/2013,95.49
1/17/2013,95.56
1/21/2013,96.24
1/22/2013,95.23
1/23/2013,95.95
1/24/2013,95.88
1/27/2013,96.44
1/28/2013,97.57
1/29/2013,97.94
1/30/2013,97.49
1/31/2013,97.77
2/3/2013,96.17
2/4/2013,96.64
2/5/2013,96.62
2/6/2013,95.83
2/7/2013,95.72
2/10/2013,97.03
2/11/2013,97.51
2/12/2013,97.01
2/13/2013,97.31
2/14/2013,95.86
2/18/2013,96.66
2/19/2013,94.46
2/20/2013,92.84
2/21/2013,93.13
2/24/2013,93.11
2/25/2013,92.63
2/26/2013,92.76
2/27/2013,92.05
2/28/2013,90.68
3/3/2013,90.12
3/4/2013,90.82
3/5/2013,90.43
3/6/2013,91.56
3/7/2013,91.95
3/10/2013,92.06
3/11/2013,92.54
3/12/2013,92.52
3/13/2013,93.03
3/14/2013,93.45
3/17/2013,93.74
3/18/2013,92.16
3/19/2013,92.96
3/20/2013,92.45
3/21/2013,93.71
3/24/2013,94.81
3/25/2013,96.34
3/26/2013,96.58
3/27/2013,97.23
3/31/2013,97.07
4/1/2013,97.19
4/2/2013,94.45
4/3/2013,93.26
4/4/2013,92.7
4/7/2013,93.36
4/8/2013,94.2
4/9/2013,94.64
4/10/2013,93.51
4/11/2013,91.29
4/14/2013,88.71
4/15/2013,88.72
4/16/2013,86.68
4/17/2013,87.73
4/18/2013,88.01
4/21/2013,88.76
4/22/2013,89.18
4/23/2013,91.43
4/24/2013,93.64
4/25/2013,93
4/28/2013,94.5
4/29/2013,93.46
4/30/2013,91.03
5/1/2013,93.99
5/2/2013,95.61
5/5/2013,96.16
5/6/2013,95.62
5/7/2013,96.62
5/8/2013,96.39
5/9/2013,96.04
5/12/2013,95.17
5/13/2013,94.21
5/14/2013,94.3
5/15/2013,95.16
5/16/2013,96.02
5/19/2013,96.71
5/20/2013,96.16
5/21/2013,94.28
5/22/2013,94.25
5/23/2013,94.15
5/27/2013,95.01
5/28/2013,93.13
5/29/2013,93.61
5/30/2013,91.97
6/2/2013,93.45
6/3/2013,93.31
6/4/2013,93.74
6/5/2013,94.76
6/6/2013,96.03
6/9/2013,95.77
6/10/2013,95.38
6/11/2013,95.88
6/12/2013,96.69
6/13/2013,97.85
6/16/2013,97.77
6/17/2013,98.44
6/18/2013,98.24
6/19/2013,95.4
6/20/2013,93.69
6/23/2013,95.18
6/24/2013,95.32
6/25/2013,95.5
6/26/2013,97.05
6/27/2013,96.56
6/30/2013,97.99
7/1/2013,99.6
7/3/2013,101.24
7/4/2013,103.22
7/7/2013,103.14
7/8/2013,103.53
7/9/2013,106.52
7/10/2013,104.91
7/11/2013,105.95
7/14/2013,106.32
7/15/2013,106
7/16/2013,106.48
7/17/2013,108.04
7/18/2013,108.05
7/21/2013,106.91
7/22/2013,107.23
7/23/2013,105.39
7/24/2013,105.49
7/25/2013,104.7
7/28/2013,104.55
7/29/2013,103.08
7/30/2013,105.03
7/31/2013,107.89
8/1/2013,106.94
8/4/2013,106.56
8/5/2013,105.3
8/6/2013,104.37
8/7/2013,103.4
8/8/2013,105.97
8/11/2013,106.11
8/12/2013,106.83
8/13/2013,106.85
8/14/2013,107.33
8/15/2013,107.46
8/18/2013,107.1
8/19/2013,104.97
8/20/2013,103.85
8/21/2013,105.03
8/22/2013,106.42
8/25/2013,105.92
8/26/2013,109.01
8/27/2013,110.1
8/28/2013,108.8
8/29/2013,107.65
9/2/2013,108.54
9/3/2013,107.23
9/4/2013,108.37
9/5/2013,110.53
9/8/2013,109.52
9/9/2013,107.39
9/10/2013,107.56
9/11/2013,108.6
9/12/2013,108.21
9/15/2013,106.59
9/16/2013,105.42
9/17/2013,108.07
9/18/2013,106.39
9/19/2013,104.68
9/22/2013,103.59
9/23/2013,103.13
9/24/2013,102.66
9/25/2013,103.03
9/26/2013,102.87
9/29/2013,102.33
9/30/2013,102.04
10/1/2013,104.1
10/2/2013,103.31
10/3/2013,103.84
10/6/2013,103.03
10/7/2013,103.49
10/8/2013,101.61
10/9/2013,103.01
10/10/2013,102.02
10/13/2013,102.41
10/14/2013,101.21
10/15/2013,102.29
10/16/2013,100.67
10/17/2013,100.81
10/20/2013,99.22
10/21/2013,97.8
10/22/2013,96.86
10/23/2013,97.11
10/24/2013,97.85
10/27/2013,98.68
10/28/2013,98.2
10/29/2013,96.77
10/30/2013,96.38
10/31/2013,94.61
11/3/2013,94.62
11/4/2013,93.37
11/5/2013,94.8
11/6/2013,94.2
11/7/2013,94.6
11/10/2013,95.14
11/11/2013,93.04
11/12/2013,93.88
11/13/2013,93.76
11/14/2013,93.84
11/17/2013,93.03
11/18/2013,93.34
11/19/2013,93.33
11/20/2013,95.44
11/21/2013,94.84
11/24/2013,94.09
11/25/2013,93.68
11/26/2013,92.3
11/29/2013,92.72
12/1/2013,93.82
12/2/2013,96.04
12/3/2013,97.2
12/4/2013,97.38
12/5/2013,97.65
12/8/2013,97.34
12/9/2013,98.51
12/10/2013,97.44
12/11/2013,97.5
12/12/2013,96.6
12/15/2013,97.48
12/16/2013,97.22
12/17/2013,97.8
12/18/2013,98.77
12/19/2013,99.32
12/22/2013,98.91
12/24/2013,99.22
12/25/2013,99.55
12/26/2013,100.32
12/29/2013,99.29
12/30/2013,98.42
1/1/2014,95.44
1/2/2014,93.96
1/5/2014,93.43
1/6/2014,93.67
1/7/2014,92.33
1/8/2014,91.66
1/9/2014,92.72
1/12/2014,91.8
1/13/2014,92.59
1/14/2014,94.17
1/15/2014,93.96
1/16/2014,94.37
1/20/2014,94.99
1/21/2014,96.73
1/22/2014,97.32
1/23/2014,96.64
1/26/2014,95.72
1/27/2014,97.41
1/28/2014,97.36
1/29/2014,98.23
1/30/2014,97.49
2/2/2014,96.43
2/3/2014,97.19
2/4/2014,97.38
2/5/2014,97.84
2/6/2014,99.88
2/9/2014,100.06
2/10/2014,99.94
2/11/2014,100.37
2/12/2014,100.35
2/13/2014,100.3
2/17/2014,102.43
2/18/2014,103.31
2/19/2014,102.92
2/20/2014,102.2
2/23/2014,102.82
2/24/2014,101.83
2/25/2014,102.59
2/26/2014,102.4
2/27/2014,102.59
3/2/2014,104.92
3/3/2014,103.33
3/4/2014,101.45
3/5/2014,101.56
3/6/2014,102.58
3/9/2014,101.12
3/10/2014,100.03
3/11/2014,97.99
3/12/2014,98.2
3/13/2014,98.89
3/16/2014,98.08
3/17/2014,99.7
3/18/2014,100.37
3/19/2014,99.43
3/20/2014,99.46
3/23/2014,99.6
3/24/2014,99.19
3/25/2014,100.26
3/26/2014,101.28
3/27/2014,101.67
3/30/2014,101.58
3/31/2014,99.74
4/1/2014,99.62
4/2/2014,100.29
4/3/2014,101.14
4/6/2014,100.44
4/7/2014,102.56
4/8/2014,103.6
4/9/2014,103.4
4/10/2014,103.74
4/13/2014,104.05
4/14/2014,103.75
4/15/2014,103.76
4/16/2014,104.3
4/20/2014,104.37
4/21/2014,102.13
4/22/2014,101.44
4/23/2014,101.94
4/24/2014,100.6
4/27/2014,100.84
4/28/2014,101.28
4/29/2014,99.74
4/30/2014,99.42
5/1/2014,99.76
5/4/2014,99.48
5/5/2014,99.5
5/6/2014,100.77
5/7/2014,100.26
5/8/2014,99.99
5/11/2014,100.59
5/12/2014,101.7
5/13/2014,102.37
5/14/2014,101.5
5/15/2014,102.02
5/18/2014,102.61
5/19/2014,102.44
5/20/2014,104.07
5/21/2014,103.74
5/22/2014,104.35
5/26/2014,104.11
5/27/2014,102.72
5/28/2014,103.58
5/29/2014,102.71
6/1/2014,102.47
6/2/2014,102.66
6/3/2014,102.64
6/4/2014,102.48
6/5/2014,102.66
6/8/2014,104.41
6/9/2014,104.35
6/10/2014,104.4
6/11/2014,106.53
6/12/2014,106.91
6/15/2014,106.9
6/16/2014,106.36
6/17/2014,105.97
6/18/2014,106.43
6/19/2014,107.26
6/22/2014,106.17
6/23/2014,106.03
6/24/2014,106.5
6/25/2014,105.84
6/26/2014,105.74
6/29/2014,105.37
6/30/2014,105.34
7/1/2014,104.48
7/3/2014,104.06
7/6/2014,103.53
7/7/2014,103.4
7/8/2014,102.29
7/9/2014,102.93
7/10/2014,100.83
7/13/2014,100.91
7/14/2014,99.96
7/15/2014,101.2
7/16/2014,103.19
7/17/2014,103.13
7/20/2014,104.59
7/21/2014,104.42
7/22/2014,103.12
7/23/2014,102.07
7/24/2014,102.09
7/27/2014,101.67
7/28/2014,100.97
7/29/2014,100.27
7/30/2014,98.17
7/31/2014,97.88
8/3/2014,98.29
8/4/2014,97.38
8/5/2014,96.92
8/6/2014,97.34
8/7/2014,97.65
8/10/2014,98.08
8/11/2014,97.37
8/12/2014,97.59
8/13/2014,95.58
8/14/2014,97.35
8/17/2014,96.41
8/18/2014,94.48
8/19/2014,96.07
8/20/2014,93.96
8/21/2014,93.65
8/24/2014,93.35
8/25/2014,93.86
8/26/2014,93.88
8/27/2014,94.55
8/28/2014,95.96
9/1/2014,92.88
9/2/2014,95.54
9/3/2014,94.45
9/4/2014,93.29
9/7/2014,92.66
9/8/2014,92.75
9/9/2014,91.67
9/10/2014,92.83
9/11/2014,92.27
9/14/2014,92.92
9/15/2014,94.88
9/16/2014,94.42
9/17/2014,93.07
9/18/2014,92.41
9/21/2014,91.52
9/22/2014,91.56
9/23/2014,92.8
9/24/2014,92.53
9/25/2014,93.54
9/28/2014,94.57
9/29/2014,91.16
9/30/2014,90.73
10/1/2014,91.01
10/2/2014,89.74
10/5/2014,90.34
10/6/2014,88.85
10/8/2014,85.77
10/9/2014,85.82
10/12/2014,85.74
10/13/2014,81.84
10/14/2014,81.78
10/15/2014,82.7
10/16/2014,82.75
10/19/2014,82.71
10/20/2014,82.81
10/21/2014,80.52
10/22/2014,82.09
10/23/2014,81.01
10/26/2014,81
10/27/2014,81.42
10/28/2014,82.2
10/29/2014,81.12
10/30/2014,80.54
11/2/2014,78.78
11/3/2014,77.19
11/4/2014,78.68
11/5/2014,77.91
11/6/2014,78.65
11/9/2014,77.4
11/10/2014,77.94
11/11/2014,77.18
11/12/2014,74.21
11/13/2014,75.82
11/16/2014,75.64
11/17/2014,74.61
11/18/2014,74.58
11/19/2014,75.58
11/20/2014,76.51
11/23/2014,75.78
11/24/2014,74.09
11/25/2014,73.69
11/28/2014,66.15
11/30/2014,69
12/1/2014,66.88
12/2/2014,67.38
12/3/2014,66.81
12/4/2014,65.84
12/7/2014,63.05
12/8/2014,63.82
12/9/2014,60.94
12/10/2014,59.95
12/11/2014,57.81
12/14/2014,55.91
12/15/2014,55.93
12/16/2014,56.47
12/17/2014,54.11
12/18/2014,56.52
12/21/2014,55.26
12/22/2014,57.12
12/24/2014,55.84
12/25/2014,54.73
12/28/2014,53.61
12/29/2014,54.12
12/30/2014,53.27
1/1/2015,52.69
1/4/2015,50.04
1/5/2015,47.93
1/6/2015,48.65
1/7/2015,48.79
1/8/2015,48.36
1/11/2015,46.07
1/12/2015,45.89
1/13/2015,48.48
1/14/2015,46.25
1/15/2015,48.69
1/19/2015,46.39
1/20/2015,47.78
1/21/2015,46.31
1/22/2015,45.59
1/25/2015,45.15
1/26/2015,46.23
1/27/2015,44.45
1/28/2015,44.53
1/29/2015,48.24
2/1/2015,49.57
2/2/2015,53.05
2/3/2015,48.45
2/4/2015,50.48
2/5/2015,51.69
2/8/2015,52.86
2/9/2015,50.02
2/10/2015,48.84
2/11/2015,51.21
2/12/2015,52.78
2/16/2015,53.53
2/17/2015,52.14
2/18/2015,51.16
2/19/2015,50.34
2/22/2015,49.45
2/23/2015,49.28
2/24/2015,50.99
2/25/2015,48.17
2/26/2015,49.76
3/1/2015,49.59
3/2/2015,50.52
3/3/2015,51.53
3/4/2015,50.76
3/5/2015,49.61
3/8/2015,50
3/9/2015,48.29
3/10/2015,48.17
3/11/2015,47.05
3/12/2015,44.84
3/15/2015,43.88
3/16/2015,43.46
3/17/2015,44.66
3/18/2015,43.96
3/19/2015,45.72
3/22/2015,47.45
3/23/2015,47.51
3/24/2015,49.21
3/25/2015,51.43
3/26/2015,48.87
3/29/2015,48.68
3/30/2015,47.6
3/31/2015,50.09
4/1/2015,49.14
4/5/2015,52.14
4/6/2015,53.98
4/7/2015,50.42
4/8/2015,50.79
4/9/2015,51.64
4/12/2015,51.91
4/13/2015,53.29
4/14/2015,56.39
4/15/2015,56.71
4/16/2015,55.74
4/19/2015,56.38
4/20/2015,55.26
4/21/2015,56.16
4/22/2015,57.74
4/23/2015,57.15
4/26/2015,56.99
4/27/2015,57.06
4/28/2015,58.58
4/29/2015,59.63
4/30/2015,59.15
5/3/2015,58.93
5/4/2015,60.4
5/5/2015,60.93
5/6/2015,58.94
5/7/2015,59.39
5/10/2015,59.25
5/11/2015,60.75
5/12/2015,60.5
5/13/2015,59.88
5/14/2015,59.69
5/17/2015,59.43
5/18/2015,57.26
5/19/2015,58.98
5/20/2015,60.72
5/21/2015,59.72
5/25/2015,58.03
